COMMENT_ID|COMMENT_EXTRACTION_DATE|FROM_ID|CREATED_TIME|ID_POST|MESSAGE
814436635354098_845565798907848|2016-10-26 14:25:00|1607606079533318|2016-07-28 14:34:07|135315403266228_814436635354098|Bonjour   Tres beau slogan  mais peu verifiable  chez certains de vos clients qui comme moi sont extrainement decus...
814436635354098_846015532196208|2016-10-26 14:25:00|135315403266228|2016-07-29 13:12:56|135315403266228_814436635354098|Bonjour Monsieur. Pourriez-vous nous communiquer, par message prive, votre numero de dossier indique sur votre contrat ? Merci d'avance. Bon apres-midi. L'equipe Maisons Castor
814436635354098_868171513313943|2016-10-26 14:25:00|326769007697694|2016-09-07 07:45:08|135315403266228_814436635354098|Desole, encore un client que j'ai prevenu concernant les defauts de sa charpente avant qu'il ne receptionne sa maison. Cela vous donnera la possibilite de corriger vos malfacons et ainsi de le preserver lui et sa famille. Vaut mieux prevenir que guerir, non.
814436635354098_889772071153887|2016-10-26 14:25:00|560257820844596|2016-10-13 18:00:42|135315403266228_814436635354098|Nous avons fait confiance a maison castor, quelle erreur !!! En plus des nombreux problemes rencontres lors de.notre construction,et bien maintenant plus de nouvelles de  personne. Bien sur quand on telephone nous avons droit au meme discours,  que l information va etre remontee ... bref, nous avons eu les cles en juin. Et depuis nous attendons une intervention pour un volet electrique qui claque, pour une retouche au mur exterieur,car comme la toiture a ete refaite trois fois les couvreurs ont casses l arrete, nous attendons toujours aussi de La documentation censee etre donnee a la remise des cles et aussi une fenetre abimee. Tous ses problemes ont ete evoques a la remise de cle mais comme le temps jouait  contre nous on nous a demande de  faire confiance a la societe   et  de ne pas faire de reserve car le necessaire sera fait... la remise de cles a ete faite le 10/06/16 et a ce Jour nous attendons toujours.malgres de nombreuses relances par mail ou par telephone.. que devons nous faire pour etre ecoutes et etre consideres comme un client . Nous ne reclamons que notre du rien de plus. Si nous avions eu  ne serait ce qu'un seul retard de paiement il est fort probable que la reactivite de maison castor aurait ete bien plus efficace
814436635354098_890099134454514|2016-10-26 14:25:00|135315403266228|2016-10-14 07:54:24|135315403266228_814436635354098|Bonjour Madame, Monsieur Haye Poustik. Nous sommes navres de cette situation. Pourriez-nous communiquer votre numero de dossier, par message prive, figurant sur votre contrat de construction ? Nous en avons besoin pour vous identifier et transmettre votre message a la region chargee de votre dossier. Merci d'avance. L'equipe Maisons Castor
814436635354098_890163844448043|2016-10-26 14:25:00|1607606079533318|2016-10-14 10:09:06|135315403266228_814436635354098|Deplorable je pense que c'est le plus mal honnete  des constructeurs...heureusement que nous avons Mr Lefebvre depuis feux mois qui lui se donne pour ses client car il y a vraiment un manque de serieux chez Castor.
796217963842632_796294790501616|2016-10-26 14:25:00|10209114771804809|2016-04-19 17:39:18|135315403266228_796217963842632|Faire du neuf avec du neuf qui ressemble a du vieux, c'est justement ce que nous essayons de faire avec notre Maison Castor !!
790463397751422_865554606908967|2016-10-26 14:25:00|1257336160990551|2016-09-02 14:35:49|135315403266228_790463397751422|Qui a deja fait ce type construction. Quels sont vos avis. Merci
789568161174279_789732727824489|2016-10-26 14:25:00|1230458643662995|2016-04-05 20:40:59|135315403266228_789568161174279|Oui mais pas chez vous car votre sav est a deplorer aucun suivi apres signature et de nombreux defauts que vous en avez rien a faire j'espere que cela ne tombera pas dans l'oreille d'un sourd
789568161174279_801192370011858|2016-10-26 14:25:00|10207806394983962|2016-04-30 06:52:47|135315403266228_789568161174279|Completement d accord Michael Leger nous avons receptionner notre maison mars 2014 pfff que des soucis a fuire, depuis octobre j attend le remplacement de mon chapeau d evatuation du conduit de cheminee pareil pour la fissures sur un mur exterieur qui s aggrave de plus en plus... nous allons mener une action en justice sous peu car la on se fou royalement de notre gueule sans compter que mon compteur edf a etais exploser pendant les travaux et biensure laisser en l etat.... maison castor de mont saint aignant a fuir y compris le conducteur de travaux de macedo qui doit je pense etre deceder depuis septembre 2015car ne daigne meme pas repondre au appel ou autre obliger de passer par le centre des travaux a chaque fois qui ne bouge pas plus.
919031478216797|2016-10-26 14:25:00|10210076211435739|2016-02-28 08:15:23|135315403266228_905970599522885|Et sinon avant de chercher de nouveaux contrats pouvez-vous vous occuper de ceux que vous avez deja ????
934090916710853|2016-10-26 14:25:00|1051492004997597|2016-03-23 03:26:40|135315403266228_905970599522885|Je tiens avec vous mr Fabien Deleu moi il on commence le travaux depuis septembre on n'est le 23mars mais maison et que a la moitie des brique pas encore fini il commence a fair les travaux pendant 1 semaine apres il nous laisse comme ca la sa va fair 1mois et 2 semaine qu'ils ont pas travailler et on peux pas dire c'est a cause du temps j'aurai su jamais j'aurais signe avec maison castor attention au futur acheteur fait plusieur constructeur car avec maison castor pas presser
1019917381461539|2016-10-26 14:25:00|1607606079533318|2016-07-28 16:29:42|135315403266228_905970599522885|Bonjour   Pour ma part une force de vente exemplaire dans les Ardennes  dans le 08 mais aucun suivi aucun contacte pour  resoudre les gros soucis :systeme solaire qui ne fonctionne toujours pas  5 mois apres la reception de la maison ,l'evacuation  de la machine a laver  qui n' est pas exploitable donc aucune lessive possible depuis 4mois ,des montants de porte fixes de travers enfin un projet desastreux  ...  Je ne conseille pas a mes proches de passer par maison castor  c'est une lamentable periode de stress et de temps perdu pour nous et un coups construction surevalue.   La flotte de commerciaux doit etre bien remplie mais pour  ce qui est des intervenants apres vente  je pense que les budgets  sont reduits ...  Je reste a votre ecoute maison castor pour vos fausses excuses que je connais parfaitement depuis bientot un an @  Cdt
599111463553284_628945253903238|2016-10-26 14:25:00|1575611185797702|2015-04-01 17:51:41|135315403266228_727227400741689|Pouvez vous me donner le numero de telephone du SAV sur dijon car ils repondent pas sur celui que j ai merci
599111463553284_727601700704259|2016-10-26 14:25:00|10209221601510493|2015-11-21 20:21:13|135315403266228_727227400741689|Avec quelques modif c'est ma future maison!!!
722077284590034_732757656855330|2016-10-26 14:25:00|1474239749259442|2015-12-06 15:22:15|135315403266228_722077284590034|Bonjour maison castor, apres la construction de notre maison il y a un an par l'agence de Lens. Nous sommes toujours embeter avec notre pompe a chaleur ! Sans chauffage et apres une dizaines d'intervention de votre partenaire Logista qui n'a rien change, notre patience arrive au bout !! Avant de lancer une procedure contre vous. Trouvez une solution au plus vite !
722076734590089_722093724588390|2016-10-26 14:25:00|1413736101988071|2015-11-05 11:00:15|135315403266228_722076734590089|Tout depend de la superficie de ta maison, voir la largeur
722076734590089_723923314405431|2016-10-26 14:25:00|1202189429837384|2015-11-10 21:07:45|135315403266228_722076734590089|Bonjour. Est ce que ce n'est valable que pour la normandie??
722076734590089_724406921023737|2016-10-26 14:25:00|135315403266228|2015-11-12 09:16:41|135315403266228_722076734590089|Bonjour @Jennifer. L'agrandissement jusqu'a 1,5 m lineaire se fait sur la longueur de la maison. Selon la largeur de la maison vous pouvez gagner jusqu'a 15 m2 supplementaires ! Malheureusement @Jennifer et @Corentine, cette offre n'est valable ce mois-ci qu'en Normandie. A tres vite.
715539808577115_715614341902995|2016-10-26 14:25:00|10154201224653822|2015-10-15 14:48:42|135315403266228_715539808577115|C'est note sur la pub, rue de Maubeuge a Bachant.
