REPLY_ID,REPLY_EXTRACTION_DATE,FROM_ID,ID_COMMENT,ID_POST
789568161174279_790083674456061,2016-10-26 14:25:00,135315403266228,789568161174279_789732727824489,135315403266228_789568161174279
789568161174279_791672047630557,2016-10-26 14:25:00,1230458643662995,789568161174279_789732727824489,135315403266228_789568161174279
789568161174279_792406824223746,2016-10-26 14:25:00,135315403266228,789568161174279_789732727824489,135315403266228_789568161174279
789568161174279_792903500840745,2016-10-26 14:25:00,135315403266228,789568161174279_789732727824489,135315403266228_789568161174279
789568161174279_802198386577923,2016-10-26 14:25:00,135315403266228,789568161174279_801192370011858,135315403266228_789568161174279
935232726596672,2016-10-26 14:25:00,135315403266228,934090916710853,135315403266228_905970599522885
935299486589996,2016-10-26 14:25:00,1051492004997597,934090916710853,135315403266228_905970599522885
962524983867446,2016-10-26 14:25:00,1104435729664037,934090916710853,135315403266228_905970599522885
599111463553284_727619184035844,2016-10-26 14:25:00,502514709873104,599111463553284_727601700704259,135315403266228_727227400741689
722077284590034_766382783492817,2016-10-26 14:25:00,135315403266228,722077284590034_732757656855330,135315403266228_722077284590034
722077284590034_789722237825538,2016-10-26 14:25:00,1206362056087030,722077284590034_732757656855330,135315403266228_722077284590034
722076734590089_724407354357027,2016-10-26 14:25:00,1826499250964880,722076734590089_724406921023737,135315403266228_722076734590089
670538443077252_670588769738886,2016-10-26 14:25:00,10154707017854706,670538443077252_670585853072511,135315403266228_670538443077252
670538443077252_670588836405546,2016-10-26 14:25:00,10154707017854706,670538443077252_670585853072511,135315403266228_670538443077252
670538443077252_670592083071888,2016-10-26 14:25:00,10154024432798603,670538443077252_670585853072511,135315403266228_670538443077252
658293234301773_659352014195895,2016-10-26 14:25:00,135315403266228,658293234301773_659168427547587,135315403266228_658293234301773
658293234301773_662294770568286,2016-10-26 14:25:00,135315403266228,658293234301773_661859593945137,135315403266228_658293234301773
1042623469136815_1054490024616826,2016-10-26 14:25:00,232821613450342,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1054529604612868,2016-10-26 14:25:00,10154541789981590,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1066311280101367,2016-10-26 14:25:00,10208897207322315,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1066312710101224,2016-10-26 14:25:00,10154541789981590,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1112689318796896,2016-10-26 14:25:00,792770357531407,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1113151622083999,2016-10-26 14:25:00,232821613450342,1042623469136815_1054430697956092,232821613450342_1042623469136815
1042623469136815_1119792661419895,2016-10-26 14:25:00,232821613450342,1042623469136815_1119752828090545,232821613450342_1042623469136815
1042623469136815_1131595906906237,2016-10-26 14:25:00,232821613450342,1042623469136815_1131529910246170,232821613450342_1042623469136815
1023610424371453_1028239200575242,2016-10-26 14:25:00,232821613450342,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1066314250101070,2016-10-26 14:25:00,10208897207322315,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1066389056760256,2016-10-26 14:25:00,10210599758330943,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1072510186148143,2016-10-26 14:25:00,10208897207322315,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1072511796147982,2016-10-26 14:25:00,10208897207322315,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1072671016132060,2016-10-26 14:25:00,10210599758330943,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1119754048090423,2016-10-26 14:25:00,10154549135777492,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1119754244757070,2016-10-26 14:25:00,10154549135777492,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1119754774757017,2016-10-26 14:25:00,10154549135777492,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1119755501423611,2016-10-26 14:25:00,10154549135777492,1023610424371453_1027824723950023,232821613450342_1023610424371453
1023610424371453_1119803548085473,2016-10-26 14:25:00,10210599758330943,1023610424371453_1027824723950023,232821613450342_1023610424371453
1013715225360973_1014106811988481,2016-10-26 14:25:00,342024049492199,1013715225360973_1014100935322402,232821613450342_1013715225360973
1013715225360973_1014124701986692,2016-10-26 14:25:00,1195368730506832,1013715225360973_1014100935322402,232821613450342_1013715225360973
1013715225360973_1014166745315821,2016-10-26 14:25:00,342024049492199,1013715225360973_1014100935322402,232821613450342_1013715225360973
1013715225360973_1014209215311574,2016-10-26 14:25:00,1195368730506832,1013715225360973_1014100935322402,232821613450342_1013715225360973
1013715225360973_1014209241978238,2016-10-26 14:25:00,1195368730506832,1013715225360973_1014100935322402,232821613450342_1013715225360973
929133673819129_931185660280597,2016-10-26 14:25:00,10210400634803407,929133673819129_931164993615997,232821613450342_929133673819129
929133673819129_931189550280208,2016-10-26 14:25:00,10210400634803407,929133673819129_931164993615997,232821613450342_929133673819129
929133673819129_929166103815886,2016-10-26 14:25:00,10210400634803407,929133673819129_929160910483072,232821613450342_929133673819129
929133673819129_929166470482516,2016-10-26 14:25:00,10210400634803407,929133673819129_929160910483072,232821613450342_929133673819129
