COMMENT_ID|COMMENT_EXTRACTION_DATE|FROM_ID|CREATED_TIME|ID_POST|MESSAGE
1177889938945726_1180562688678451|2016-10-17 14:15:00|1525052814470521|2016-10-08 15:21:55|137846509616746_1177889938945726|
1177889938945726_1180555345345852|2016-10-17 14:15:00|1815202412049912|2016-10-08 15:09:02|137846509616746_1177889938945726|Fait et partage en esperant avoir de la chance
1177889938945726_1180589555342431|2016-10-17 14:15:00|1137041996358309|2016-10-08 15:58:15|137846509616746_1177889938945726|fait et partage
1177889938945726_1181119765289410|2016-10-17 14:15:00|10211194188959347|2016-10-09 06:32:36|137846509616746_1177889938945726|Mission accomplie j'ai tente ma chance et fait un partage
1177889938945726_1181392481928805|2016-10-17 14:15:00|1121358377913751|2016-10-09 13:43:38|137846509616746_1177889938945726|Je tente pour mes enfants merci
1177889938945726_1180573608677359|2016-10-17 14:15:00|300846693586720|2016-10-08 15:39:57|137846509616746_1177889938945726|Je tente meme si gagne jamais. ...Et je partage. ...
1177889938945726_1180775838657136|2016-10-17 14:15:00|1627656357531557|2016-10-08 20:21:26|137846509616746_1177889938945726|Combien de spectateurs pour l'instant?
1177889938945726_1180661292001924|2016-10-17 14:15:00|1184730504928520|2016-10-08 17:23:47|137846509616746_1177889938945726|Fait et partager
1177889938945726_1180636758671044|2016-10-17 14:15:00|1220377241339066|2016-10-08 16:47:29|137846509616746_1177889938945726|fait et partager ...
1177889938945726_1181532358581484|2016-10-17 14:15:00|1687078264943824|2016-10-09 16:55:12|137846509616746_1177889938945726|Fait et partager,pour mon fils
1177889938945726_1181383731929680|2016-10-17 14:15:00|10210767096119492|2016-10-09 13:30:29|137846509616746_1177889938945726|Fait. ..mais encore de l'arnaque quoi ....
1177889938945726_1180782241989829|2016-10-17 14:15:00|1201042826627074|2016-10-08 20:33:46|137846509616746_1177889938945726|fait et partage
1177889938945726_1180657778668942|2016-10-17 14:15:00|985108514951945|2016-10-08 17:17:33|137846509616746_1177889938945726|le match de l'annee
1177889938945726_1180617662006287|2016-10-17 14:15:00|315454365513647|2016-10-08 16:25:33|137846509616746_1177889938945726|Fait et partager
1177889938945726_1180762871991766|2016-10-17 14:15:00|1101458379922265|2016-10-08 20:05:14|137846509616746_1177889938945726|Fait
1177889938945726_1180744601993593|2016-10-17 14:15:00|1479091435455697|2016-10-08 19:32:08|137846509616746_1177889938945726|Fait
1177889938945726_1180573958677324|2016-10-17 14:15:00|353940274939539|2016-10-08 15:40:44|137846509616746_1177889938945726|Jean-luc Houssin
1177889938945726_1180637395337647|2016-10-17 14:15:00|863750687102873|2016-10-08 16:48:20|137846509616746_1177889938945726|Monia
1177889938945726_1181275628607157|2016-10-17 14:15:00|1212079775518342|2016-10-09 10:21:55|137846509616746_1177889938945726|Maxime Chieus
