ID_POST,Sentiment,Count,positive,negative,neutre
135315403266228_586412058156558,negative,0,0,1,0
135315403266228_586412058156558,positive,0,0,1,0
135315403266228_586412058156558,neutre,1,0,1,0
135315403266228_590907111040386,negative,7,7,18,17
135315403266228_590907111040386,positive,17,7,18,17
135315403266228_590907111040386,neutre,18,7,18,17
135315403266228_613451508785946,negative,0,0,1,0
135315403266228_613451508785946,positive,0,0,1,0
135315403266228_613451508785946,neutre,1,0,1,0
135315403266228_623362844461479,negative,0,0,1,0
135315403266228_623362844461479,positive,0,0,1,0
135315403266228_623362844461479,neutre,1,0,1,0
135315403266228_636492106481886,negative,0,0,1,0
135315403266228_636492106481886,positive,0,0,1,0
135315403266228_636492106481886,neutre,1,0,1,0
135315403266228_636500983147665,negative,0,0,1,1
135315403266228_636500983147665,positive,1,0,1,1
135315403266228_636500983147665,neutre,1,0,1,1
135315403266228_658293234301773,negative,1,1,3,2
135315403266228_658293234301773,positive,2,1,3,2
135315403266228_658293234301773,neutre,3,1,3,2
135315403266228_661065617357868,negative,0,0,1,0
135315403266228_661065617357868,positive,0,0,1,0
135315403266228_661065617357868,neutre,1,0,1,0
135315403266228_666952653435831,negative,0,0,0,2
135315403266228_666952653435831,positive,2,0,0,2
135315403266228_666952653435831,neutre,0,0,0,2
135315403266228_670538443077252,negative,0,0,2,2
135315403266228_670538443077252,positive,2,0,2,2
135315403266228_670538443077252,neutre,2,0,2,2
135315403266228_715539808577115,negative,0,0,1,0
135315403266228_715539808577115,positive,0,0,1,0
135315403266228_715539808577115,neutre,1,0,1,0
135315403266228_722076734590089,negative,1,1,2,0
135315403266228_722076734590089,positive,0,1,2,0
135315403266228_722076734590089,neutre,2,1,2,0
135315403266228_722077284590034,negative,0,0,1,0
135315403266228_722077284590034,positive,0,0,1,0
135315403266228_722077284590034,neutre,1,0,1,0
135315403266228_727227400741689,negative,1,1,1,0
135315403266228_727227400741689,positive,0,1,1,0
135315403266228_727227400741689,neutre,1,1,1,0
135315403266228_789568161174279,negative,0,0,0,2
135315403266228_789568161174279,positive,2,0,0,2
135315403266228_789568161174279,neutre,0,0,0,2
135315403266228_790463397751422,negative,0,0,1,0
135315403266228_790463397751422,positive,0,0,1,0
135315403266228_790463397751422,neutre,1,0,1,0
135315403266228_796217963842632,negative,0,0,0,1
135315403266228_796217963842632,positive,1,0,0,1
135315403266228_796217963842632,neutre,0,0,0,1
135315403266228_814436635354098,negative,2,2,0,4
135315403266228_814436635354098,positive,4,2,0,4
135315403266228_814436635354098,neutre,0,2,0,4
135315403266228_905970599522885,negative,1,1,0,2
135315403266228_905970599522885,positive,2,1,0,2
135315403266228_905970599522885,neutre,0,1,0,2
227577483972427_1089169857813181,negative,0,0,1,3
227577483972427_1089169857813181,positive,3,0,1,3
227577483972427_1089169857813181,neutre,1,0,1,3
227577483972427_1089738017756365,negative,2,2,2,6
227577483972427_1089738017756365,positive,6,2,2,6
227577483972427_1089738017756365,neutre,2,2,2,6
227577483972427_1090422494354584,negative,1,1,0,0
227577483972427_1090422494354584,positive,0,1,0,0
227577483972427_1090422494354584,neutre,0,1,0,0
227577483972427_1090653590998141,negative,0,0,0,1
227577483972427_1090653590998141,positive,1,0,0,1
227577483972427_1090653590998141,neutre,0,0,0,1
227577483972427_1091275654269268,negative,0,0,2,1
227577483972427_1091275654269268,positive,1,0,2,1
227577483972427_1091275654269268,neutre,2,0,2,1
227577483972427_1094196843977149,negative,0,0,3,1
227577483972427_1094196843977149,positive,1,0,3,1
227577483972427_1094196843977149,neutre,3,0,3,1
227577483972427_1094857890577711,negative,0,0,3,1
227577483972427_1094857890577711,positive,1,0,3,1
227577483972427_1094857890577711,neutre,3,0,3,1
227577483972427_1098651370198363,negative,10,10,15,17
227577483972427_1098651370198363,positive,17,10,15,17
227577483972427_1098651370198363,neutre,15,10,15,17
227577483972427_1102308409832659,negative,2,2,2,3
227577483972427_1102308409832659,positive,3,2,2,3
227577483972427_1102308409832659,neutre,2,2,2,3
227577483972427_1113207298742770,negative,0,0,1,0
227577483972427_1113207298742770,positive,0,0,1,0
227577483972427_1113207298742770,neutre,1,0,1,0
227577483972427_1122560844474082,negative,5,5,9,21
227577483972427_1122560844474082,positive,21,5,9,21
227577483972427_1122560844474082,neutre,9,5,9,21
227577483972427_1210083062388526,negative,5,5,2,9
227577483972427_1210083062388526,positive,9,5,2,9
227577483972427_1210083062388526,neutre,2,5,2,9
227577483972427_838033719593464,negative,0,0,0,1
227577483972427_838033719593464,positive,1,0,0,1
227577483972427_838033719593464,neutre,0,0,0,1
227577483972427_843085452421624,negative,2,2,4,0
227577483972427_843085452421624,positive,0,2,4,0
227577483972427_843085452421624,neutre,4,2,4,0
227577483972427_844875845575918,negative,0,0,2,1
227577483972427_844875845575918,positive,1,0,2,1
227577483972427_844875845575918,neutre,2,0,2,1
227577483972427_858918940838275,negative,0,0,1,1
227577483972427_858918940838275,positive,1,0,1,1
227577483972427_858918940838275,neutre,1,0,1,1
227577483972427_858984517498384,negative,1,1,1,2
227577483972427_858984517498384,positive,2,1,1,2
227577483972427_858984517498384,neutre,1,1,1,2
227577483972427_861398813923621,negative,1,1,0,1
227577483972427_861398813923621,positive,1,1,0,1
227577483972427_861398813923621,neutre,0,1,0,1
227577483972427_867732536623582,negative,0,0,2,0
227577483972427_867732536623582,positive,0,0,2,0
227577483972427_867732536623582,neutre,2,0,2,0
227577483972427_867750646621771,negative,1,1,1,0
227577483972427_867750646621771,positive,0,1,1,0
227577483972427_867750646621771,neutre,1,1,1,0
227577483972427_878176735579162,negative,3,3,1,2
227577483972427_878176735579162,positive,2,3,1,2
227577483972427_878176735579162,neutre,1,3,1,2
227577483972427_881096558620513,negative,2,2,0,0
227577483972427_881096558620513,positive,0,2,0,0
227577483972427_881096558620513,neutre,0,2,0,0
227577483972427_885259578204211,negative,1,1,2,1
227577483972427_885259578204211,positive,1,1,2,1
227577483972427_885259578204211,neutre,2,1,2,1
227577483972427_887733634623472,negative,0,0,1,0
227577483972427_887733634623472,positive,0,0,1,0
227577483972427_887733634623472,neutre,1,0,1,0
227577483972427_892908710772631,negative,1,1,2,5
227577483972427_892908710772631,positive,5,1,2,5
227577483972427_892908710772631,neutre,2,1,2,5
227577483972427_892911600772342,negative,1,1,0,0
227577483972427_892911600772342,positive,0,1,0,0
227577483972427_892911600772342,neutre,0,1,0,0
227577483972427_915642391832596,negative,0,0,2,3
227577483972427_915642391832596,positive,3,0,2,3
227577483972427_915642391832596,neutre,2,0,2,3
227577483972427_917466264983542,negative,2,2,0,1
227577483972427_917466264983542,positive,1,2,0,1
227577483972427_917466264983542,neutre,0,2,0,1
227577483972427_920629261333909,negative,1,1,0,0
227577483972427_920629261333909,positive,0,1,0,0
227577483972427_920629261333909,neutre,0,1,0,0
227577483972427_920638721332963,negative,0,0,0,1
227577483972427_920638721332963,positive,1,0,0,1
227577483972427_920638721332963,neutre,0,0,0,1
227577483972427_922034831193352,negative,0,0,2,1
227577483972427_922034831193352,positive,1,0,2,1
