ID_POST,Sentiment,Count
10109514234_10153804259324235,negative,0
10109514234_10153804259324235,positive,0
10109514234_10153804259324235,neutre,103
10109514234_10153814884239235,negative,0
10109514234_10153814884239235,positive,0
10109514234_10153814884239235,neutre,74
10109514234_10153817167864235,negative,0
10109514234_10153817167864235,positive,0
10109514234_10153817167864235,neutre,306
10109514234_10153820464094235,negative,0
10109514234_10153820464094235,positive,0
10109514234_10153820464094235,neutre,165
10109514234_10153834731454235,negative,0
10109514234_10153834731454235,positive,0
10109514234_10153834731454235,neutre,216
10109514234_10153837002784235,negative,0
10109514234_10153837002784235,positive,0
10109514234_10153837002784235,neutre,436
10109514234_10153839230279235,negative,0
10109514234_10153839230279235,positive,0
10109514234_10153839230279235,neutre,15
10109514234_10153843176879235,negative,0
10109514234_10153843176879235,positive,0
10109514234_10153843176879235,neutre,148
10109514234_10153845233884235,negative,0
10109514234_10153845233884235,positive,0
10109514234_10153845233884235,neutre,265
10109514234_10153847660109235,negative,0
10109514234_10153847660109235,positive,0
10109514234_10153847660109235,neutre,30
10109514234_10153850211564235,negative,0
10109514234_10153850211564235,positive,0
10109514234_10153850211564235,neutre,530
10109514234_10153852092109235,negative,0
10109514234_10153852092109235,positive,0
10109514234_10153852092109235,neutre,4508
10109514234_10153854919289235,negative,0
10109514234_10153854919289235,positive,0
10109514234_10153854919289235,neutre,3578
10109514234_10153856909089235,negative,0
10109514234_10153856909089235,positive,0
10109514234_10153856909089235,neutre,1360
10109514234_10153863463804235,negative,0
10109514234_10153863463804235,positive,0
10109514234_10153863463804235,neutre,21
10109514234_10153865517219235,negative,0
10109514234_10153865517219235,positive,0
10109514234_10153865517219235,neutre,84
10109514234_10153867682574235,negative,0
10109514234_10153867682574235,positive,0
10109514234_10153867682574235,neutre,98
10109514234_10153867955339235,negative,0
10109514234_10153867955339235,positive,0
10109514234_10153867955339235,neutre,1958
10109514234_10153868386949235,negative,0
10109514234_10153868386949235,positive,0
10109514234_10153868386949235,neutre,394
10109514234_10153878920774235,negative,0
10109514234_10153878920774235,positive,0
10109514234_10153878920774235,neutre,109
10109514234_10153882941904235,negative,0
10109514234_10153882941904235,positive,0
10109514234_10153882941904235,neutre,51
10109514234_10153882958089235,negative,0
10109514234_10153882958089235,positive,0
10109514234_10153882958089235,neutre,83
10109514234_10153902959214235,negative,0
10109514234_10153902959214235,positive,0
10109514234_10153902959214235,neutre,1
10109514234_10153910377584235,negative,0
10109514234_10153910377584235,positive,0
10109514234_10153910377584235,neutre,203
10109514234_10153917451059235,negative,0
10109514234_10153917451059235,positive,0
10109514234_10153917451059235,neutre,80
10109514234_10153919455244235,negative,0
10109514234_10153919455244235,positive,0
10109514234_10153919455244235,neutre,42
10109514234_10153921781109235,negative,0
10109514234_10153921781109235,positive,0
10109514234_10153921781109235,neutre,93
10109514234_10153926364804235,negative,0
10109514234_10153926364804235,positive,0
10109514234_10153926364804235,neutre,671
10109514234_10153926919774235,negative,0
10109514234_10153926919774235,positive,0
10109514234_10153926919774235,neutre,141
10109514234_10153933175264235,negative,0
10109514234_10153933175264235,positive,0
10109514234_10153933175264235,neutre,72
10109514234_10153936902544235,negative,0
10109514234_10153936902544235,positive,0
10109514234_10153936902544235,neutre,61
10109514234_10153939370974235,negative,0
10109514234_10153939370974235,positive,0
10109514234_10153939370974235,neutre,51
10109514234_10153940094364235,negative,0
10109514234_10153940094364235,positive,0
10109514234_10153940094364235,neutre,32
10109514234_10153945871774235,negative,0
10109514234_10153945871774235,positive,0
10109514234_10153945871774235,neutre,484
10109514234_10153947088609235,negative,0
10109514234_10153947088609235,positive,0
10109514234_10153947088609235,neutre,3137
10109514234_10153950371474235,negative,0
10109514234_10153950371474235,positive,0
10109514234_10153950371474235,neutre,1709
10109514234_10153954567674235,negative,0
10109514234_10153954567674235,positive,0
10109514234_10153954567674235,neutre,257
10109514234_10153966870029235,negative,0
10109514234_10153966870029235,positive,0
10109514234_10153966870029235,neutre,105
10109514234_10153967322484235,negative,0
10109514234_10153967322484235,positive,0
10109514234_10153967322484235,neutre,64
10109514234_10153967370524235,negative,0
10109514234_10153967370524235,positive,0
10109514234_10153967370524235,neutre,41
10109514234_10153969862244235,negative,0
10109514234_10153969862244235,positive,0
10109514234_10153969862244235,neutre,44
10109514234_10153975578189235,negative,0
10109514234_10153975578189235,positive,0
10109514234_10153975578189235,neutre,31
10109514234_10153976781664235,negative,0
10109514234_10153976781664235,positive,0
10109514234_10153976781664235,neutre,26
10109514234_10153976916169235,negative,0
10109514234_10153976916169235,positive,0
10109514234_10153976916169235,neutre,58
10109514234_10153976941974235,negative,0
10109514234_10153976941974235,positive,0
10109514234_10153976941974235,neutre,45
10109514234_10153988961499235,negative,0
10109514234_10153988961499235,positive,0
10109514234_10153988961499235,neutre,126
10109514234_10153995058059235,negative,0
10109514234_10153995058059235,positive,0
10109514234_10153995058059235,neutre,224
10109514234_10154000486484235,negative,0
10109514234_10154000486484235,positive,0
10109514234_10154000486484235,neutre,32
10109514234_10154005058724235,negative,0
10109514234_10154005058724235,positive,0
10109514234_10154005058724235,neutre,331
10109514234_10154005076139235,negative,0
10109514234_10154005076139235,positive,0
10109514234_10154005076139235,neutre,57
10109514234_10154017422079235,negative,0
10109514234_10154017422079235,positive,0
10109514234_10154017422079235,neutre,298
10109514234_10154022422559235,negative,0
10109514234_10154022422559235,positive,0
10109514234_10154022422559235,neutre,521
10109514234_10154036048904235,negative,0
10109514234_10154036048904235,positive,0
10109514234_10154036048904235,neutre,69
10109514234_10154055541684235,negative,0
10109514234_10154055541684235,positive,0
10109514234_10154055541684235,neutre,140
10109514234_10154066382239235,negative,0
10109514234_10154066382239235,positive,0
10109514234_10154066382239235,neutre,20
10109514234_10154071216224235,negative,0
10109514234_10154071216224235,positive,0
