ID_POST,Sentiment,Count,positive,negative,neutre
108656639173392_1000071173365263,negative,2,2,29,42
108656639173392_1000071173365263,positive,42,2,29,42
108656639173392_1000071173365263,neutre,29,2,29,42
108656639173392_1000408503331530,negative,7,7,29,25
108656639173392_1000408503331530,positive,25,7,29,25
108656639173392_1000408503331530,neutre,29,7,29,25
108656639173392_1000535169985530,negative,23,23,41,49
108656639173392_1000535169985530,positive,49,23,41,49
108656639173392_1000535169985530,neutre,41,23,41,49
108656639173392_1000551913317189,negative,1,1,3,1
108656639173392_1000551913317189,positive,1,1,3,1
108656639173392_1000551913317189,neutre,3,1,3,1
108656639173392_1000565169982530,negative,1,1,17,23
108656639173392_1000565169982530,positive,23,1,17,23
108656639173392_1000565169982530,neutre,17,1,17,23
108656639173392_1000577143314666,negative,1,1,9,6
108656639173392_1000577143314666,positive,6,1,9,6
108656639173392_1000577143314666,neutre,9,1,9,6
108656639173392_1001365679902479,negative,2,2,29,14
108656639173392_1001365679902479,positive,14,2,29,14
108656639173392_1001365679902479,neutre,29,2,29,14
108656639173392_1001374613234919,negative,0,0,1,0
108656639173392_1001374613234919,positive,0,0,1,0
108656639173392_1001374613234919,neutre,1,0,1,0
108656639173392_1001377866567927,negative,1,1,1,8
108656639173392_1001377866567927,positive,8,1,1,8
108656639173392_1001377866567927,neutre,1,1,1,8
108656639173392_1001905929848454,negative,0,0,11,5
108656639173392_1001905929848454,positive,5,0,11,5
108656639173392_1001905929848454,neutre,11,0,11,5
108656639173392_1001945836511130,negative,0,0,3,3
108656639173392_1001945836511130,positive,3,0,3,3
108656639173392_1001945836511130,neutre,3,0,3,3
108656639173392_1002028209836226,negative,4,4,23,14
108656639173392_1002028209836226,positive,14,4,23,14
108656639173392_1002028209836226,neutre,23,4,23,14
108656639173392_1002394769799570,negative,1,1,1,4
108656639173392_1002394769799570,positive,4,1,1,4
108656639173392_1002394769799570,neutre,1,1,1,4
108656639173392_1002984689740578,negative,0,0,8,4
108656639173392_1002984689740578,positive,4,0,8,4
108656639173392_1002984689740578,neutre,8,0,8,4
108656639173392_1002990673073313,negative,0,0,10,12
108656639173392_1002990673073313,positive,12,0,10,12
108656639173392_1002990673073313,neutre,10,0,10,12
108656639173392_1003509086354805,negative,12,12,37,30
108656639173392_1003509086354805,positive,30,12,37,30
